"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试获取帖子接口","917","测试获取单个帖子","testcases","Sun Nov 10 08:55:06 CST 2024","passed","Sun Nov 10 08:55:07 CST 2024","TestPosts","test_posts","",""
"测试获取帖子接口","1588","测试获取单个帖子","testcases","Sun Nov 10 08:55:03 CST 2024","passed","Sun Nov 10 08:55:05 CST 2024","TestPosts","test_posts","",""
"测试更新帖子接口","1084","测试更新帖子","testcases","Sun Nov 10 08:55:09 CST 2024","passed","Sun Nov 10 08:55:10 CST 2024","TestPosts","test_posts","",""
"测试创建帖子接口","824","test_create_post","testcases","Sun Nov 10 08:55:08 CST 2024","passed","Sun Nov 10 08:55:08 CST 2024","TestPosts","test_posts","",""
"测试删除帖子接口","4026","测试删除帖子","testcases","Sun Nov 10 08:55:11 CST 2024","passed","Sun Nov 10 08:55:15 CST 2024","TestPosts","test_posts","",""
"测试获取帖子接口","269","测试获取单个帖子","testcases","Sun Nov 10 08:55:06 CST 2024","passed","Sun Nov 10 08:55:06 CST 2024","TestPosts","test_posts","",""
